iter	Passed	Remaining
0	0	75
1	1	68
2	2	64
3	2	62
4	3	60
5	3	59
6	4	58
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	54
13	8	54
14	9	54
15	10	54
16	11	55
17	12	55
18	12	54
19	13	54
20	14	53
21	14	52
22	15	52
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	45
33	23	44
34	23	44
35	24	43
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	35
49	34	34
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	71	0
